version,release_date,artifact_id,service_name
1.28.0,2018-04-27,google-cloud-storage,bigstore
1.29.0,2018-05-07,google-cloud-storage,bigstore
1.3.0,2017-07-27,google-cloud-storage,bigstore
1.3.1,2017-07-31,google-cloud-storage,bigstore
1.30.0,2018-05-18,google-cloud-storage,bigstore
1.31.0,2018-05-24,google-cloud-storage,bigstore
1.32.0,2018-06-01,google-cloud-storage,bigstore
1.33.0,2018-06-07,google-cloud-storage,bigstore
1.34.0,2018-06-14,google-cloud-storage,bigstore
1.35.0,2018-06-22,google-cloud-storage,bigstore
1.36.0,2018-07-12,google-cloud-storage,bigstore
1.37.0,2018-07-20,google-cloud-storage,bigstore
1.37.1,2018-07-20,google-cloud-storage,bigstore
1.38.0,2018-08-01,google-cloud-storage,bigstore
1.39.0,2018-08-10,google-cloud-storage,bigstore
1.4.0,2017-08-21,google-cloud-storage,bigstore
1.40.0,2018-08-15,google-cloud-storage,bigstore
1.41.0,2018-08-23,google-cloud-storage,bigstore
1.42.0,2018-08-30,google-cloud-storage,bigstore
1.43.0,2018-09-07,google-cloud-storage,bigstore
1.44.0,2018-09-13,google-cloud-storage,bigstore
1.45.0,2018-09-20,google-cloud-storage,bigstore
1.46.0,2018-09-27,google-cloud-storage,bigstore
1.47.0,2018-10-04,google-cloud-storage,bigstore
1.48.0,2018-10-06,google-cloud-storage,bigstore
1.49.0,2018-10-11,google-cloud-storage,bigstore
1.5.0,2017-09-11,google-cloud-storage,bigstore
1.5.1,2017-09-13,google-cloud-storage,bigstore
1.50.0,2018-10-25,google-cloud-storage,bigstore
1.51.0,2018-11-01,google-cloud-storage,bigstore
1.52.0,2018-11-07,google-cloud-storage,bigstore
1.53.0,2018-11-16,google-cloud-storage,bigstore
1.54.0,2018-11-29,google-cloud-storage,bigstore
1.55.0,2018-12-07,google-cloud-storage,bigstore
1.56.0,2018-12-13,google-cloud-storage,bigstore
1.57.0,2019-01-03,google-cloud-storage,bigstore
1.58.0,2019-01-07,google-cloud-storage,bigstore
1.59.0,2019-01-10,google-cloud-storage,bigstore
1.6.0,2017-09-18,google-cloud-storage,bigstore
1.60.0,2019-01-17,google-cloud-storage,bigstore
1.61.0,2019-01-23,google-cloud-storage,bigstore
1.62.0,2019-02-07,google-cloud-storage,bigstore
1.63.0,2019-02-21,google-cloud-storage,bigstore
1.64.0,2019-03-04,google-cloud-storage,bigstore
1.65.0,2019-03-11,google-cloud-storage,bigstore
1.66.0,2019-03-21,google-cloud-storage,bigstore
1.67.0,2019-03-29,google-cloud-storage,bigstore
1.68.0,2019-04-03,google-cloud-storage,bigstore
1.69.0,2019-04-04,google-cloud-storage,bigstore
1.7.0,2017-10-03,google-cloud-storage,bigstore
1.70.0,2019-04-17,google-cloud-storage,bigstore
1.71.0,2019-04-24,google-cloud-storage,bigstore
1.72.0,2019-05-01,google-cloud-storage,bigstore
1.73.0,2019-05-07,google-cloud-storage,bigstore
1.74.0,2019-05-15,google-cloud-storage,bigstore
1.75.0,2019-05-22,google-cloud-storage,bigstore
1.76.0,2019-05-29,google-cloud-storage,bigstore
1.77.0,2019-06-06,google-cloud-storage,bigstore
1.78.0,2019-06-13,google-cloud-storage,bigstore
1.79.0,2019-06-20,google-cloud-storage,bigstore
1.8.0,2017-10-14,google-cloud-storage,bigstore
1.80.0,2019-06-26,google-cloud-storage,bigstore
1.81.0,2019-07-03,google-cloud-storage,bigstore
1.82.0,2019-07-10,google-cloud-storage,bigstore
1.83.0,2019-07-18,google-cloud-storage,bigstore
1.84.0,2019-07-24,google-cloud-storage,bigstore
1.85.0,2019-07-31,google-cloud-storage,bigstore
1.86.0,2019-08-07,google-cloud-storage,bigstore
1.87.0,2019-08-14,google-cloud-storage,bigstore
1.88.0,2019-08-22,google-cloud-storage,bigstore
1.89.0,2019-08-29,google-cloud-storage,bigstore
1.9.0,2017-11-08,google-cloud-storage,bigstore
1.90.0,2019-09-05,google-cloud-storage,bigstore
1.91.0,2019-09-11,google-cloud-storage,bigstore
1.92.0,2019-09-18,google-cloud-storage,bigstore
1.93.0,2019-09-25,google-cloud-storage,bigstore
1.96.0,2019-10-03,google-cloud-storage,bigstore
1.97.0,2019-10-14,google-cloud-storage,bigstore
1.98.0,2019-10-17,google-cloud-storage,bigstore
1.99.0,2019-10-31,google-cloud-storage,bigstore
